id,log vol score,no vol score,score,mean volume,volatility,long mom,short unweighted mom,long unweighted mom
3920,-47.58596233425152,-2.643563191848976,-77.84645292703586,37878.33561447363,3.395868523806399e-05,-1.522670410634231,-5.097920655831958,-2.430991290295484
3930,-106.33790305627404,-6.633673370452012,-131.2843115866288,56714.45091739412,5.052906390932126e-05,-5.349647029452251,-11.069478035394,-4.765921387509543
3940,-77.05549451398291,-4.272782435139878,-127.13374270105888,32445.69071649012,3.360856326857976e-05,-3.3909974396177702,-7.014364744438602,-3.294770116885368
3950,-26.787945585477765,-1.4574826469752598,-51.512118279893656,15939.076894471533,2.829397616801459e-05,-1.1298618551776396,-2.365806647132648,-1.204400230413112
3960,-45.81498469119099,-2.565946781738793,-72.48640549289372,35506.542996245895,3.539900708678882e-05,-2.4091799942477183,-3.019740997243893,-2.4256861412158437
3970,-50.881131798743745,-3.0526020257331696,-67.30854443451118,73849.34451256898,4.535237021361e-05,-3.2753563220703725,-4.3515120240940055,-1.308183434697927
3980,-494.05321214925783,-38.884835740489436,-465.5062884780583,193197.2480339404,8.353235327415404e-05,-23.44050474382037,-90.50112225489605,-18.157211219420933
3990,-187.69480569736982,-13.650154664614702,-190.75180114564355,139240.5165320646,7.155976815229379e-05,-14.182735180562233,-15.074899868546924,-11.160248428787408
4000,-48.114103019157746,-2.909481970449404,-62.69488171425906,49830.666169560776,4.640700948619357e-05,-2.0832066101301905,-5.061664955145752,-2.4098497063914808
4010,-226.2648404579653,-13.880509170761803,-287.29158464022095,67823.77197768388,4.831505659361568e-05,-14.578729138304588,-16.70878128562994,-9.655797120808106
4020,-53.367361812934796,-3.0371490978982107,-80.02904393425732,38460.58131799471,3.795058579474202e-05,-2.851500134895644,-3.4896831229069387,-2.955912998894616
4030,-48.94786381965729,-2.661258252416242,-96.77690750749228,25578.21714715071,2.7498897422509725e-05,-1.9469958106600005,-4.160071091846612,-2.5909702964983503
4040,-32.12359185578074,-1.7546507517897973,-58.39934520471208,31279.602785822084,3.0045726465580635e-05,-1.7371343225680722,-2.075698043907636,-1.4686363181154087
4050,-150.53332894915812,-9.423146531666816,-184.8245309691499,80806.54392310526,5.0984284836300696e-05,-8.167633453453854,-11.835099572192592,-9.522219647566958
4060,-65.36988536352042,-3.7454804517567126,-96.13327349230222,36393.24747785907,3.896133269670286e-05,-2.9193854285137157,-4.802982681837791,-4.340168268161628
4070,-151.71697680687137,-12.7541079356389,-135.2071219706471,139983.68336476182,9.433014880982204e-05,-5.313808581919437,-30.084055976133563,-10.304758602583178
4080,-80.76906397972344,-5.918950389120862,-81.44500308733659,131079.82224713976,7.267419933392041e-05,-1.4712320217426462,-16.019960831703283,-4.713376681294872
4090,-151.01488185951695,-9.588355196591051,-181.39404671536423,70737.50259958855,5.285926065499099e-05,-8.023768733579706,-13.314930626340669,-8.990952692864118
4100,-190.6968768204417,-11.648951009872757,-243.94415121733212,53318.08460896768,4.77525325027965e-05,-8.887074750889056,-19.22539191109579,-9.596262626617124
4110,-149.40688815024228,-9.576226169438126,-176.97670040949865,72505.77974204192,5.41100955508839e-05,-8.998165460986375,-10.366316599685494,-9.942257156094264
4120,-87.02018290207553,-5.378364469103519,-109.09037239619344,66391.34500145851,4.930191685083284e-05,-3.855433076974304,-9.758575626814812,-4.044016095650649
4130,-194.676845078084,-13.660059914227427,-205.6068410502485,125672.99593675826,6.64377695044156e-05,-13.11274951170722,-14.813473842098375,-13.601266791396888
4140,-286.8956439196128,-23.45654838933194,-261.5755620290148,196814.0603558278,8.9674081964622e-05,-19.580394747936605,-36.08883214270557,-18.57657191874897
4150,-33.35014401824611,-2.400319933221314,-34.263311288385935,127019.87277615244,7.005510684645762e-05,3.752405789557622,-17.590410770692927,0.4843194586924256
4160,-183.14844496033768,-10.944527938007615,-244.1829276030609,65217.765811392674,4.4821020230369385e-05,-9.945347061165036,-13.620357295430024,-10.267060334270369
4170,-54.212382807833855,-3.3774999977969316,-67.07239125231787,67105.11198693077,5.035603971671746e-05,-3.0877568087324723,-4.198538487800484,-3.135947885922297
4180,-193.35659382504275,-11.888717645272088,-244.54385732123947,67668.10889292195,4.861589154396442e-05,-11.09532381436142,-13.476469518261004,-11.887753434104509
4190,68.68557825875291,4.797013649586047,72.92498081696273,104318.54496800934,6.578011534382517e-05,5.044619367612775,4.552825603977598,4.54599025914104
