id,no vol score,log vol score,score,mean volume,volatility,short mom,long mom,short unweighted mom,long unweighted mom
4100,-5.054503547421327,-32.32922841367995,-105.8478636106959,53318.08460896768,4.77525325027965e-05,-14.421366710654986,-8.887074750889056,-19.22539191109579,-9.596262626617124
1240,-9.468603931766545,-43.10119159303654,-105.24811207541516,75906.83758301221,8.996459646688816e-05,-30.04856399271922,-13.427274171363663,-42.10677795924755,-9.774462735109262
5160,-5.6821327188076864,-33.56127726421968,-104.52588126042474,60602.82773800708,5.436101231857337e-05,-21.433533780316857,-11.840894686405344,-14.038543469089536,-10.616687652809343
600,-6.994715520292263,-36.5797671726076,-103.3523054486724,55000.49873027767,6.767836953347917e-05,-22.02263127879548,-11.642995008471136,-27.90853841016206,-10.638048631811886
1350,-7.484927887860191,-37.78008964129444,-103.2216244088697,105770.84323351333,7.251317667906243e-05,-22.43287423202465,-14.300144183707728,-23.635473143355416,-16.52288644794017
4180,-4.970803369515931,-31.43361718159837,-102.2464715065592,67668.10889292195,4.861589154396442e-05,-13.381139181484413,-11.09532381436142,-13.476469518261004,-11.887753434104509
1410,-5.387055566080409,-32.31471591059487,-101.70836970808156,51879.42729902873,5.2965705590818885e-05,-15.031852325359692,-10.695523598269263,-18.45673409663259,-11.16550868222926
500,-6.728838583814274,-35.56982617274299,-101.4784190369636,56155.498458847054,6.630807463962647e-05,-22.317305350539765,-8.501471418937005,-29.86058738581189,-6.917905861749348
2400,-9.429493778038458,-42.235434056955256,-101.13032676149167,90969.6824631101,9.324100969511564e-05,-19.619058697756262,-19.62441493967674,-32.44782678792565,-22.28170161666217
4540,-5.067109947543598,-31.4078632295993,-100.94901015253078,95656.53553116336,5.019474623760405e-05,-10.936094523831112,-9.351651814852495,-21.240715947805064,-9.4511574739778
340,-5.984691286371719,-33.588312555375,-100.74545083272616,36397.74034334764,5.940408462024224e-05,-16.817489378710857,-10.236839132627791,-23.093333922177425,-11.48214485746036
5140,-7.525724053957256,-37.41172390024919,-100.67546345512532,91360.07504845744,7.475231596338011e-05,-16.186246803133116,-18.333181601287123,-22.17811410267372,-17.504861972213504
3150,-6.741506289927728,-35.402030484909886,-100.40203630930574,121270.4854870615,6.71451151564233e-05,-20.2737490342356,-11.145947272258496,-25.16479804303778,-13.102831991880308
5090,-9.146164611440984,-41.39544827302713,-100.38807091633332,78721.0101846485,9.110808214517536e-05,-19.143082952208072,-15.147780710747828,-37.24404311693237,-19.9874570925352
4210,-5.069211147684047,-31.21755703053641,-99.93520328198804,65422.31186791981,5.072497959883275e-05,-17.573052224745645,-9.950014908827624,-15.867387784961824,-9.12405356103236
230,-6.399995195558457,-34.41311027875341,-99.65482673346236,40301.85603587222,6.422162784624511e-05,-18.899153050532647,-12.717293573665948,-18.76685131815485,-14.861459888102692
1280,-7.010791832956008,-35.90109787353611,-99.46578862120684,64846.05327663832,7.048445430473626e-05,-23.2869905318448,-13.098079011406378,-23.344525068210785,-13.02062114940944
3830,-3.9101263396371495,-28.473970260221723,-99.03878236038028,59833.31616090331,3.948075942017403e-05,-11.105506717886492,-8.236144990187375,-12.332119570767103,-8.346422782898536
4250,-4.602890575493487,-29.95992762766493,-99.038201350392,48056.84333775824,4.647591043388096e-05,-15.741694090740925,-8.258083268221297,-15.36800620278586,-8.43650500425734
1070,-6.547371452587001,-34.64939061719464,-98.95125223617804,59574.58946221203,6.616764623614521e-05,-23.40321246964894,-14.233520265750286,-16.390149264158044,-12.683002023603953
150,-5.807430451918437,-32.71573825205458,-98.41469488481194,39478.264482903855,5.900978973430401e-05,-22.7215147080632,-11.18577772492374,-14.746344872107576,-10.727995618955102
2150,-5.077343905011271,-30.92105573427247,-98.29016759310169,37781.556508515816,5.1656681734741645e-05,-21.631011463012,-8.334685721046883,-14.692761753359802,-7.257660906931004
5010,-8.314920058199817,-38.92878784987994,-98.22794938000304,65923.47230782044,8.464922774711354e-05,-45.69474127763349,-11.932612967069764,-9.136064358854922,-4.044297456318373
1080,-6.62769360783611,-34.617046601953334,-97.69515230694344,61303.43780518083,6.784055760528318e-05,-16.960249848298012,-11.457239119881436,-25.42835216944193,-13.866502563128904
1300,-6.416668743091226,-34.076805150342445,-97.61853889937984,61449.74505734984,6.57320711356395e-05,-25.976570849561988,-12.27946793857532,-17.60675312566388,-9.89697693411768
4880,-7.136976510959476,-35.771738987561854,-97.05866242728472,132505.87909309627,7.353260731680102e-05,-21.55268793757899,-5.277522154606775,-35.34219820885003,-5.675288631184648
1880,-9.353696050861116,-41.17965218754805,-96.49636706877544,119275.24236823524,9.693314199273944e-05,-16.94845054622683,-16.34322426809125,-36.90403962090011,-21.98111232416481
2130,-3.0979022861802736,-26.360505201926884,-95.64940019507208,36465.14067175344,3.238809945344414e-05,-9.927451150650032,-7.0800160218094295,-8.240027109460918,-6.276398722141735
60,-6.444932961319284,-33.778358253711964,-95.62725241011552,48721.76770297194,6.739640425596433e-05,-21.522461690374364,-13.30167249073461,-19.77854388027385,-11.98043517976934
770,-4.60509057255735,-29.27347970526968,-95.50755677721033,39416.27809756502,4.821702834781551e-05,-6.612127775349624,-3.459103116373844,-22.692778702113163,-9.508777598944876
2240,-11.062646730430922,-45.13567281548074,-95.37038444435152,143437.927699589,0.0001159966670459,-27.445072631996585,17.323903262260284,-65.20344028418198,-0.7975300564877166
1470,-7.538507065905866,-36.41172134483381,-95.09178718887614,97764.4657963345,7.927611088991839e-05,-16.951542030653137,-20.1754669138178,-16.377959825656298,-18.386896428281894
4510,-4.752713556942367,-29.472704304484743,-94.75593579474553,91266.03767876788,5.015742303719529e-05,-8.178173441562842,-11.381370360907855,-15.96855740984845,-10.77566175184063
3060,-3.899713027528074,-27.549195519161,-94.68238718290796,49752.8975926235,4.1187312060421405e-05,-12.777919977363034,-6.9877494180730535,-12.802678760398514,-7.830654980433803
2920,-3.556292406293597,-26.69080817544895,-93.83006344504072,50174.88142991977,3.7901417474545685e-05,-14.592608345997924,-6.705621438809014,-8.644759564152919,-6.232694458389656
2680,-6.005543595438716,-32.33418731159202,-93.73930698021246,96083.85254922362,6.40664390308159e-05,-13.947771547179167,-13.493553845839802,-17.903877530810263,-14.476788093531487
3470,-9.068030217570426,-39.945716838285485,-93.67553045538158,129547.8527431012,9.680254996676644e-05,-20.1596267300945,-21.45005969316934,-23.03523953859302,-23.48411442641149
90,-5.144078218584731,-30.179295849770668,-93.5513670583668,40548.70629924542,5.498667074929366e-05,-19.29261841983745,-8.052753365786588,-17.808825377072083,-8.171976674470224
3370,-6.457459141864758,-33.38486107964827,-93.3315665904188,71482.57079296026,6.918837192782818e-05,-20.036871061774324,-12.651904544072975,-20.999766258090684,-13.010539313445388
5150,-9.06079269131064,-39.83963894918489,-93.20588192264924,86180.55042270532,9.721267053542946e-05,-30.01930017210628,-17.8474630019104,-28.083043262656204,-17.729172824646103
3900,-6.285462956058628,-32.86106479499586,-92.82082389242112,134930.98217260913,6.771608667623387e-05,-20.042906961880423,-12.215583295434003,-19.300980301452004,-13.22056530592516
2120,-4.488983790714821,-28.353775825536196,-92.16602742596376,42965.26286134248,4.870540605995833e-05,-14.079093934991556,-6.548442637755291,-17.682328029008342,-8.024503240796326
2720,-6.458948881149194,-33.003156642378244,-91.2466926699472,67499.25356752964,7.078556703980679e-05,-21.08664683375132,-12.735277770117078,-24.36118702338972,-8.347455771992495
5000,-9.421370278648688,-40.28072330913582,-90.85119495613952,141956.45835326953,0.0001037011156892,-28.43240115065849,-16.25242775513591,-34.90665315977787,-17.89247271213296
3290,-5.882382484749501,-31.414458805659173,-90.43434057069062,105513.6284859316,6.504589349165836e-05,-13.816632190640368,-8.195239481510772,-24.81243759531623,-12.345180603304875
4750,-3.469791925402253,-25.737719267460243,-90.11889460427253,55998.1291124791,3.850238000187089e-05,-11.641575628209822,-7.535833098860984,-8.755773226575755,-7.33665480007043
3320,-3.0684061887531064,-24.96945365117841,-89.78918091153696,30080.82878914405,3.417345116196342e-05,-8.752815652101575,-4.715060096440006,-12.55035091731367,-5.493519909718594
990,-5.3709391396432205,-29.9751263658265,-89.51214378811494,63785.84893013664,6.000235177426677e-05,-11.254717313089694,-10.31217316694034,-20.39748603963218,-11.897134346525917
3430,-8.716505353476808,-38.29216838136357,-89.48519177703743,160806.15977094317,9.740723778292812e-05,-8.317564975351866,-17.545495574981086,-28.95346704096266,-24.61721745063973
710,-5.564832104891659,-30.40549707295912,-89.2490762426704,44085.76865640941,6.235170535278982e-05,-15.19742919906142,-8.406147674712756,-22.51204966648,-10.85688622253364
1460,-6.633949205122415,-33.05663814839867,-89.1684423826579,94443.72795605668,7.439794873452483e-05,-8.007959051896535,-18.80673782866231,-14.21319896497108,-17.47576815928864
4720,-5.0497425433146255,-29.113831350558492,-89.12368616736117,85780.57197449784,5.6659938120512114e-05,-16.75201486809122,-10.586375298381263,-18.046137742032176,-6.616669013707674
2700,-10.140197421724576,-41.63566539508574,-88.78504433820837,169471.58997086974,0.0001142106477201,-18.570761467239663,-21.581971259921268,-13.77458804196334,-33.432576261298586
4410,-4.407431394973606,-27.29350165806692,-87.67476681811327,50522.83883808923,5.027023800493356e-05,-15.765440562798872,-8.834462823941953,-11.08808772776025,-9.266228512115564
3190,-3.8037836175177846,-25.838835673161103,-87.27356671970277,45779.00112000664,4.358460139178713e-05,-11.839147330535903,-6.189003823610117,-14.126595397509854,-7.229871002441092
2480,-8.284785795198557,-36.69369437263365,-86.64057432752065,96459.86144817984,9.562247087467614e-05,-26.99487288879488,-12.876584196430835,-32.59778381878783,-13.190997136105628
3220,-3.330018856694961,-24.6867321779596,-86.42161357519952,39131.93251764313,3.853224579980047e-05,-12.881628302902127,-5.23137577705142,-11.37585170359386,-4.956005767564003
3180,-3.5648775883771093,-25.04192967056008,-85.86157862973081,41240.82764652617,4.151889174726539e-05,-13.722733069187925,-6.288455552666443,-10.80782112690896,-6.0534673142305735
1160,-9.490626489897132,-39.455372078644494,-85.63267107117282,158375.13722430295,0.0001108295043373,-32.68337363908292,-14.917375479779531,-35.581286431500615,-15.220128829782906
140,-4.430234889803426,-26.84616431650844,-85.06304381680691,24739.19239420193,5.208178182930355e-05,-15.075784672338132,-6.445982133259306,-17.26568812473799,-7.003095073105764
3480,-3.17667680692926,-24.003442558692328,-84.57005997337748,52646.98413853318,3.756266470579863e-05,-5.186100744496856,-4.895256016589065,-13.153074440412809,-7.598021064117538
70,-7.861756937701267,-35.2480928438081,-84.50189558339024,86035.51133239207,9.303645656023106e-05,-11.062656456211093,-14.199501598461916,-26.46249324513855,-22.351313042002555
240,-45.658784041192085,-114.40149451164244,-84.37455577130528,397853.1089788227,0.0005411439932786,-125.9153350743142,-54.68357909000174,-195.666980109805,-86.39808391387359
2790,-4.7864989904899655,-27.50682921042777,-84.00333276698042,60418.83861963444,5.6979870117384405e-05,-17.0925092598611,-8.240035187293518,-15.975596548500825,-8.414591357874523
2930,-4.989166505200417,-27.928422466251973,-83.59863493098437,94551.83372988668,5.967999967127775e-05,-14.741748674963585,-10.343544761505283,-14.150363004250003,-11.50161735113218
2260,-3.569377350441457,-24.53579792047578,-83.32913537749806,39553.34236432996,4.2834686022739176e-05,-8.751670728666992,-6.483510719145424,-13.07991647868892,-7.965820422008311
660,-4.91272085577955,-27.68321897746973,-83.29408984819193,46773.84160984287,5.8980425438746665e-05,-11.886060295295646,-10.51144387939874,-13.920137987013042,-12.506481672813162
4290,-4.012102567294308,-25.360438702343803,-82.47156905909533,56969.24693505968,4.864831132798528e-05,-6.135634382839136,-9.690805794731798,-11.312684602431144,-10.631193166367767
2880,-7.030481393991462,-32.80063212360744,-82.43641137038514,175114.97229799823,8.528369050908402e-05,-17.683418206421116,-15.755379388167093,-18.672964766281574,-17.62880056568264
3030,-4.023476635884899,-25.379207103118485,-82.43192812780345,67283.32379346766,4.880968730522538e-05,-10.538980230246109,-6.03621957975881,-17.029773261788076,-7.376514669912287
1000,-4.135763852072484,-25.545666090725867,-81.93066508838804,36181.929699684086,5.047882679349373e-05,-12.727156462483494,-7.600191223775856,-14.665309209992326,-7.848118115917957
3350,-5.143036000939311,-27.975107839545583,-81.80847164214101,65638.45000624402,6.286678992655867e-05,-13.938516632923251,-2.6474990058892764,-26.673906754175672,-4.026875067678119
